PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
1.480000,1.540000,0.190000,0.780000,0.130000,92.220001,6.630000,-1.230000,263.070007,59.040001,53577.390625,34.83,79.49,3.250000,CO,22256
1.420000,1.480000,0.180000,0.710000,0.130000,94.070000,6.840000,-0.820000,263.000000,59.860001,53351.781250,34.86,79.65,3.250000,CO,22257
1.370000,1.440000,0.170000,0.710000,0.130000,94.570000,7.040000,-0.830000,263.779999,57.639999,53756.101562,34.9,79.81,3.250000,CO,22258
1.320000,1.390000,0.170000,0.690000,0.130000,94.379997,6.780000,-1.180000,265.190002,53.020000,54727.480469,34.93,79.98,3.250000,CO,22259
3.950000,4.010000,0.120000,0.170000,0.130000,90.699997,3.840000,-3.240000,261.470001,57.380001,50553.699219,35.24,81.59,5.642857,PM2.5,22269
4.390000,4.450000,0.120000,0.170000,0.130000,89.650002,2.860000,-3.860000,260.920013,65.930000,50450.070312,35.27,81.76,6.271429,PM2.5,22270
4.500000,4.550000,0.110000,0.170000,0.130000,90.360001,2.750000,-4.090000,260.549988,71.790001,50328.050781,35.29,81.92,6.428571,PM2.5,22271
6.830000,6.860000,0.080000,0.150000,0.130000,97.230003,2.150000,-4.270000,265.200012,56.349998,53880.789062,35.49,83.06,9.757143,PM2.5,22278
6.670000,6.690000,0.070000,0.150000,0.120000,97.760002,2.170000,-3.990000,265.619995,55.340000,54239.480469,35.52,83.22,9.528571,PM2.5,22279
6.110000,6.140000,0.070000,0.150000,0.120000,98.529999,1.950000,-3.130000,266.440002,55.000000,55066.550781,35.55,83.39,8.728572,PM2.5,22280
5.630000,5.650000,0.060000,0.150000,0.120000,99.580002,1.820000,-1.920000,267.220001,54.520000,55815.960938,35.58,83.55,8.042857,PM2.5,22281
5.720000,5.740000,0.060000,0.140000,0.120000,100.750000,1.880000,-1.440000,267.519989,55.000000,56033.281250,35.6,83.71,8.171429,PM2.5,22282
5.790000,5.810000,0.060000,0.140000,0.120000,102.309998,1.340000,-1.530000,267.869995,54.080002,56182.191406,35.63,83.88,8.271428,PM2.5,22283
6.080000,6.100000,0.060000,0.140000,0.120000,101.849998,1.070000,-1.450000,267.649994,54.119999,56096.660156,35.66,84.04,8.685714,PM2.5,22284
5.550000,5.570000,0.050000,0.130000,0.120000,105.389999,1.190000,-1.130000,267.709991,54.090000,55862.910156,35.68,84.21,7.928572,PM2.5,22285
5.160000,5.180000,0.050000,0.130000,0.120000,107.180000,0.770000,-1.370000,267.730011,53.419998,55649.441406,35.71,84.37,7.371428,PM2.5,22286
4.860000,4.880000,0.050000,0.130000,0.120000,108.629997,0.730000,-1.840000,267.160004,53.299999,55081.488281,35.74,84.54,6.942857,PM2.5,22287
4.680000,4.700000,0.040000,0.130000,0.120000,108.389999,0.830000,-2.400000,266.850006,51.310001,54790.710938,35.76,84.7,6.685714,PM2.5,22288
4.280000,4.300000,0.040000,0.130000,0.120000,108.849998,0.800000,-2.260000,267.049988,48.740002,54910.929688,35.79,84.86,6.114286,PM2.5,22289
4.040000,4.050000,0.040000,0.130000,0.120000,109.580002,0.720000,-1.550000,266.820007,48.980000,54777.980469,35.81,85.03,5.771429,PM2.5,22290
4.080000,4.100000,0.040000,0.130000,0.120000,109.620003,0.460000,-1.080000,266.869995,48.279999,54852.238281,35.84,85.19,5.828571,PM2.5,22291
4.180000,4.200000,0.040000,0.130000,0.120000,109.070000,0.430000,-0.610000,266.880005,46.930000,54898.988281,35.86,85.36,5.971428,PM2.5,22292
4.370000,4.380000,0.040000,0.130000,0.120000,107.870003,0.960000,-0.420000,266.309998,45.330002,54325.640625,35.89,85.52,6.242857,PM2.5,22293
4.480000,4.500000,0.030000,0.130000,0.120000,107.370003,1.550000,-0.800000,266.339996,41.439999,54238.199219,35.91,85.69,6.400000,PM2.5,22294
4.280000,4.300000,0.030000,0.130000,0.120000,107.480003,1.490000,-1.410000,267.260010,36.570000,54839.539062,35.94,85.85,6.114286,PM2.5,22295
3.880000,3.890000,0.030000,0.130000,0.120000,107.070000,0.870000,-1.940000,267.869995,34.509998,55215.031250,35.96,86.02,5.542857,PM2.5,22296
3.480000,3.490000,0.030000,0.100000,0.120000,92.739998,0.320000,-2.850000,266.239990,20.750000,55340.089844,36.36,89.01,4.971428,PM2.5,22314
3.540000,3.550000,0.030000,0.100000,0.120000,91.220001,1.440000,-2.640000,266.929993,17.290001,56145.820312,36.38,89.17,5.057143,PM2.5,22315
3.970000,3.980000,0.030000,0.090000,0.120000,102.620003,1.370000,-4.060000,269.440002,28.700001,56910.128906,36.4,89.34,5.671429,PM2.5,22316
3.740000,3.760000,0.040000,0.100000,0.120000,95.050003,-0.060000,-3.540000,267.630005,19.040001,56304.808594,36.42,89.51,5.342857,PM2.5,22317
3.660000,3.680000,0.040000,0.100000,0.120000,93.059998,0.000000,-3.410000,265.230011,20.930000,54584.890625,36.44,89.67,5.228571,PM2.5,22318
3.790000,3.800000,0.040000,0.100000,0.120000,92.410004,0.420000,-3.000000,264.880005,21.709999,54533.269531,36.46,89.84,5.414286,PM2.5,22319
3.930000,3.940000,0.040000,0.110000,0.120000,92.599998,0.350000,-1.760000,266.519989,21.639999,56218.691406,36.48,90.01,5.614286,PM2.5,22320
