lat,lon,cluster
22.48,101.01,0
22.49,101.15,0
22.49,101.3,0
22.5,101.44,0
22.5,101.59,0
22.51,101.73,0
22.51,101.88,0
22.51,102.02,0
22.52,102.17,0
22.52,102.31,0
22.53,103.04,0
22.54,106.67,0
22.54,106.81,0
22.53,106.96,0
22.53,107.1,0
22.53,107.25,0
22.53,107.39,0
22.52,107.54,0
22.52,107.69,0
22.52,107.83,0
22.51,107.98,0
22.51,108.12,0
22.51,108.27,0
22.5,108.41,0
22.5,108.56,0
22.49,108.7,0
22.49,108.85,0
22.48,108.99,0
22.48,109.14,0
22.47,109.28,0
22.47,109.43,0
22.46,109.57,0
22.46,109.71,0
22.45,109.86,0
22.44,110.0,0
22.44,110.15,0
22.43,110.29,0
22.42,110.44,0
22.42,110.58,0
22.41,110.73,0
22.4,110.87,0
22.39,111.02,0
22.39,111.16,0
22.38,111.31,0
22.37,111.45,0
22.36,111.6,0
22.35,111.74,0
22.35,111.89,0
22.34,112.03,0
22.33,112.17,0
22.32,112.32,0
22.31,112.46,0
22.3,112.61,0
22.29,112.75,0
22.28,112.9,0
22.27,113.04,0
22.26,113.19,0
22.25,113.33,0
22.24,113.47,0
22.55,99.41,0
22.56,99.55,0
22.56,99.7,0
22.57,99.84,0
22.58,99.99,0
22.58,100.13,0
22.59,100.28,0
22.59,100.42,0
22.6,100.57,0
22.61,100.71,0
22.61,100.86,0
22.62,101.0,0
22.62,101.15,0
22.63,101.29,0
22.63,101.44,0
22.64,101.59,0
22.64,101.73,0
22.64,101.88,0
22.65,102.02,0
22.65,102.17,0
22.65,102.31,0
22.67,102.89,0
22.67,103.04,0
22.67,103.18,0
22.68,103.47,0
22.68,103.91,0
22.67,106.82,0
22.67,106.96,0
22.67,107.11,0
22.66,107.25,0
22.66,107.4,0
22.66,107.54,0
22.65,107.69,0
22.65,107.83,0
22.65,107.98,0
22.64,108.12,0
22.64,108.27,0
22.64,108.41,0
22.63,108.56,0
22.63,108.71,0
22.62,108.85,0
22.62,109.0,0
22.61,109.14,0
22.61,109.29,0
22.6,109.43,0
22.59,109.58,0
22.59,109.72,0
22.58,109.87,0
22.58,110.01,0
22.57,110.16,0
22.56,110.3,0
22.56,110.45,0
22.55,110.59,0
22.54,110.74,0
22.54,110.88,0
22.53,111.03,0
22.52,111.17,0
22.51,111.32,0
22.5,111.46,0
22.5,111.61,0
22.49,111.75,0
22.48,111.9,0
22.47,112.04,0
22.46,112.18,0
22.45,112.33,0
22.44,112.47,0
22.43,112.62,0
22.42,112.76,0
22.41,112.91,0
22.4,113.05,0
22.39,113.2,0
22.38,113.34,0
22.37,113.49,0
22.68,99.4,0
22.69,99.55,0
22.7,99.69,0
22.7,99.84,0
22.71,99.98,0
22.72,100.13,0
22.72,100.27,0
22.73,100.42,0
22.73,100.56,0
22.74,100.71,0
22.75,100.85,0
22.75,101.0,0
22.76,101.14,0
22.76,101.29,0
22.76,101.43,0
22.77,101.58,0
22.77,101.73,0
22.78,101.87,0
22.78,102.02,0
22.78,102.16,0
22.79,102.31,0
22.79,102.45,0
22.79,102.6,0
22.8,102.74,0
22.8,102.89,0
22.8,103.04,0
22.81,103.18,0
22.81,103.47,0
22.81,103.62,0
22.81,103.76,0
22.81,103.91,0
22.82,104.05,0
22.82,104.34,0
22.82,104.49,0
22.8,106.96,0
22.8,107.11,0
22.8,107.26,0
22.79,107.4,0
22.79,107.55,0
22.79,107.69,0
22.78,107.84,0
22.78,107.98,0
22.78,108.13,0
22.77,108.27,0
22.77,108.42,0
22.76,108.57,0
22.76,108.71,0
22.76,108.86,0
22.75,109.0,0
22.75,109.15,0
22.74,109.29,0
22.73,109.44,0
22.73,109.58,0
22.72,109.73,0
22.72,109.87,0
22.71,110.02,0
22.7,110.16,0
22.7,110.31,0
22.69,110.45,0
22.68,110.6,0
22.68,110.74,0
22.67,110.89,0
22.66,111.03,0
22.65,111.18,0
22.65,111.32,0
22.64,111.47,0
22.63,111.61,0
22.62,111.76,0
22.61,111.9,0
22.6,112.05,0
22.6,112.19,0
22.59,112.34,0
22.58,112.48,0
22.57,112.63,0
