PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
58.459999,78.580002,16.010000,22.139999,1.950000,47.099998,-5.990000,-5.270000,270.769989,94.660004,86365.351562,30.0,110.42,79.324997,PM2.5,9205
95.070000,115.510002,21.350000,32.119999,2.040000,21.879999,-3.290000,-10.910000,274.010010,88.099998,99338.109375,29.96,111.36,125.087502,PM2.5,9211
103.480003,124.190002,19.730000,31.820000,1.980000,22.430000,-2.160000,-10.980000,274.910004,87.720001,101450.726562,29.95,111.52,135.600006,PM2.5,9212
111.370003,134.009995,20.440001,33.330002,1.980000,21.000000,-1.480000,-11.590000,275.260010,88.040001,102277.796875,29.94,111.67,145.462509,PM2.5,9213
114.940002,141.389999,19.639999,33.220001,1.990000,21.180000,-1.470000,-10.970000,275.510010,86.860001,102457.656250,29.93,111.83,149.925003,PM2.5,9214
115.220001,146.630005,18.719999,32.209999,2.020000,22.450001,-1.550000,-10.670000,275.779999,85.769997,102616.953125,29.92,111.98,150.314285,PM2.5,9215
112.989998,152.229996,18.760000,30.840000,2.090000,24.680000,-1.720000,-9.710000,276.160004,86.440002,102557.679688,29.91,112.14,147.487503,PM2.5,9216
109.459999,156.979996,19.299999,29.330000,2.180000,27.709999,-2.580000,-9.310000,276.570007,86.339996,102515.687500,29.91,112.3,143.074997,PM2.5,9217
103.389999,157.820007,20.000000,28.320000,2.280000,29.910000,-3.270000,-9.770000,276.420013,84.410004,102537.679688,29.9,112.45,135.487503,PM2.5,9218
98.510002,158.210007,20.320000,27.629999,2.410000,30.020000,-2.780000,-9.890000,276.200012,83.580002,102588.093750,29.89,112.61,129.387497,PM2.5,9219
92.910004,155.169998,21.000000,26.670000,2.490000,30.370001,-2.760000,-9.200000,276.549988,84.239998,102630.031250,29.88,112.77,122.387505,PM2.5,9220
88.470001,148.910004,20.270000,25.610001,2.470000,30.969999,-2.980000,-9.730000,276.640015,82.089996,102594.593750,29.87,112.92,116.837502,PM2.5,9221
85.870003,141.279999,18.920000,24.620001,2.370000,31.670000,-3.370000,-9.730000,277.100006,82.599998,102553.406250,29.86,113.08,113.587502,PM2.5,9222
83.449997,132.889999,17.959999,24.420000,2.270000,33.730000,-4.560000,-10.820000,278.570007,84.029999,102561.421875,29.85,113.24,110.562500,PM2.5,9223
81.610001,124.480003,17.350000,25.100000,2.260000,30.500000,-4.440000,-9.740000,278.570007,83.370003,102582.703125,29.84,113.39,108.262497,PM2.5,9224
80.769997,108.379997,15.920000,28.129999,2.310000,20.219999,-2.810000,-7.780000,278.709991,80.080002,102506.953125,29.81,113.7,107.212494,PM2.5,9226
84.650002,108.730003,14.330000,29.360001,2.310000,19.459999,-4.240000,-7.150000,279.630005,81.230003,102362.007812,29.8,113.86,112.062500,PM2.5,9227
90.010002,115.370003,12.350000,29.799999,2.310000,20.760000,-5.160000,-7.080000,279.690002,84.279999,101825.867188,29.79,114.02,118.762505,PM2.5,9228
93.410004,122.099998,10.650000,29.920000,2.360000,19.309999,-3.970000,-5.490000,278.730011,84.610001,101264.953125,29.78,114.17,123.012505,PM2.5,9229
94.639999,132.059998,9.800000,29.690001,2.340000,21.200001,-3.030000,-4.630000,278.929993,84.400002,100953.882812,29.77,114.33,124.550003,PM2.5,9230
92.480003,130.020004,9.780000,29.920000,2.210000,24.160000,-3.980000,-3.520000,278.670013,85.480003,100247.546875,29.76,114.48,121.850006,PM2.5,9231
93.519997,126.199997,9.040000,31.129999,2.120000,22.920000,-5.260000,-3.260000,277.950012,90.080002,99484.210938,29.74,114.64,123.149994,PM2.5,9232
96.040001,126.010002,8.840000,32.520000,2.100000,21.969999,-5.700000,-3.160000,278.359985,88.290001,100457.578125,29.73,114.8,126.300003,PM2.5,9233
92.480003,118.750000,10.280000,33.110001,1.990000,22.469999,-5.640000,-4.280000,279.410004,82.889999,102119.742188,29.72,114.95,121.850006,PM2.5,9234
84.339996,103.599998,12.150000,33.669998,1.830000,22.959999,-6.070000,-4.520000,279.179993,82.760002,101847.757812,29.71,115.11,111.674995,PM2.5,9235
77.620003,89.230003,13.680000,33.860001,1.700000,23.240000,-6.540000,-4.380000,277.820007,87.519997,100046.546875,29.69,115.26,103.275002,PM2.5,9236
89.489998,100.239998,15.780000,17.200001,1.210000,37.990002,-4.950000,3.460000,273.390015,99.180000,86473.453125,30.2,108.7,118.112495,PM2.5,9429
81.900002,91.949997,14.250000,17.820000,1.230000,42.419998,-5.130000,0.200000,273.279999,99.669998,87581.968750,30.2,108.86,108.625000,PM2.5,9430
76.480003,86.239998,13.350000,19.040001,1.320000,43.820000,-4.560000,-1.860000,274.049988,99.610001,90083.742188,30.19,109.01,101.850006,PM2.5,9431
69.949997,79.070000,11.600000,20.700001,1.400000,45.630001,-3.940000,-3.560000,275.160004,97.410004,92534.742188,30.19,109.17,93.687500,PM2.5,9432
65.879997,74.230003,9.960000,21.809999,1.490000,46.369999,-2.760000,-4.830000,276.230011,91.589996,93866.062500,30.18,109.33,88.599998,PM2.5,9433
61.270000,71.000000,10.030000,21.490000,1.570000,45.900002,-1.530000,-3.660000,277.589996,85.290001,94546.796875,30.18,109.48,82.837502,PM2.5,9434
58.680000,70.470001,11.130000,20.160000,1.600000,47.380001,-3.120000,0.220000,277.119995,84.500000,91142.562500,30.17,109.64,79.599998,PM2.5,9435
58.720001,73.129997,12.960000,19.889999,1.660000,48.380001,-4.970000,1.440000,273.769989,94.709999,86137.382812,30.16,109.8,79.650002,PM2.5,9436
57.290001,73.879997,14.370000,21.270000,1.740000,47.919998,-4.320000,0.190000,272.859985,96.209999,86292.296875,30.16,109.96,77.862503,PM2.5,9437
54.840000,72.389999,15.880000,21.240000,1.780000,47.770000,-5.940000,-0.830000,273.450012,87.660004,86733.593750,30.15,110.11,74.800003,PM2.5,9438
59.169998,76.489998,17.400000,22.020000,1.830000,47.369999,-6.810000,-1.660000,270.739990,94.510002,84383.226562,30.15,110.27,80.212494,PM2.5,9439
63.209999,82.370003,17.680000,22.629999,1.890000,44.930000,-5.480000,-3.000000,268.910004,95.699997,84944.398438,30.14,110.43,85.262497,PM2.5,9440
66.709999,89.089996,17.309999,22.930000,1.940000,41.849998,-5.540000,-5.010000,268.880005,96.000000,85960.273438,30.13,110.58,89.637497,PM2.5,9441
69.750000,91.820000,18.450001,24.010000,1.960000,38.220001,-4.040000,-7.390000,268.950012,95.690002,87234.992188,30.12,110.74,93.437500,PM2.5,9442
73.260002,94.430000,19.969999,26.049999,2.000000,33.320000,-2.530000,-9.570000,270.170013,93.720001,91198.648438,30.12,110.9,97.825005,PM2.5,9443
79.449997,98.239998,22.680000,29.240000,2.080000,27.790001,-2.870000,-9.070000,271.380005,93.220001,94153.156250,30.11,111.05,105.562500,PM2.5,9444
89.430000,107.599998,24.620001,32.590000,2.150000,22.270000,-2.580000,-9.140000,271.619995,95.160004,95300.031250,30.1,111.21,118.037498,PM2.5,9445
100.940002,121.379997,22.840000,34.639999,2.100000,19.129999,-1.600000,-10.420000,272.429993,95.169998,97364.187500,30.09,111.37,132.425003,PM2.5,9446
110.070000,130.309998,21.110001,33.430000,2.000000,21.120001,-0.980000,-10.180000,274.109985,91.070000,100537.976562,30.09,111.52,143.837494,PM2.5,9447
118.150002,140.550003,21.770000,34.509998,2.000000,20.420000,-0.980000,-10.920000,275.079987,87.589996,102223.257812,30.08,111.68,154.500000,PM2.5,9448
122.040001,148.110001,20.520000,34.660000,2.010000,19.990000,-1.400000,-10.380000,275.350006,86.470001,102471.671875,30.07,111.84,160.057144,PM2.5,9449
122.940002,154.429993,19.990000,33.669998,2.030000,21.600000,-1.670000,-10.570000,275.559998,85.300003,102578.140625,30.06,111.99,161.342865,PM2.5,9450
121.089996,160.270004,19.809999,32.400002,2.090000,23.620001,-1.780000,-9.890000,275.890015,85.650002,102570.781250,30.05,112.15,158.699997,PM2.5,9451
117.769997,164.580002,20.150000,30.850000,2.160000,26.430000,-2.460000,-9.430000,276.429993,86.230003,102558.843750,30.04,112.31,153.957138,PM2.5,9452
111.440002,164.229996,20.540001,29.590000,2.230000,28.820000,-3.320000,-9.450000,276.450012,84.650002,102570.773438,30.03,112.47,145.550003,PM2.5,9453
107.029999,163.639999,20.490000,28.770000,2.330000,28.760000,-2.950000,-9.720000,276.029999,83.010002,102591.039062,30.02,112.62,140.037506,PM2.5,9454
101.730003,158.660004,20.450001,27.590000,2.370000,29.170000,-2.950000,-9.430000,276.359985,83.720001,102595.656250,30.01,112.78,133.412506,PM2.5,9455
97.519997,151.080002,19.780001,26.320000,2.340000,30.209999,-3.320000,-9.710000,276.480011,82.000000,102576.226562,30.0,112.93,128.149994,PM2.5,9456
93.550003,141.539993,19.000000,25.400000,2.270000,29.840000,-3.170000,-9.510000,276.630005,81.320000,102551.601562,29.99,113.09,123.187500,PM2.5,9457
89.379997,130.660004,18.790001,25.170000,2.220000,28.610001,-3.080000,-9.730000,276.600006,79.019997,102554.882812,29.98,113.25,117.974998,PM2.5,9458
86.529999,120.660004,17.820000,25.270000,2.160000,26.940001,-3.000000,-9.450000,277.179993,79.519997,102550.640625,29.97,113.4,114.412498,PM2.5,9459
85.879997,111.879997,16.639999,25.980000,2.120000,24.920000,-3.190000,-8.310000,277.910004,79.830002,102521.218750,29.96,113.56,113.599998,PM2.5,9460
85.650002,104.089996,15.500000,27.540001,2.140000,21.180000,-3.140000,-8.250000,278.119995,79.339996,102499.156250,29.95,113.72,113.312500,PM2.5,9461
88.400002,101.860001,14.080000,29.070000,2.160000,19.770000,-3.650000,-7.480000,278.970001,80.040001,102458.976562,29.94,113.87,116.750000,PM2.5,9462
93.519997,108.800003,12.210000,30.020000,2.150000,22.049999,-4.910000,-8.240000,280.339996,81.470001,102559.750000,29.93,114.03,123.149994,PM2.5,9463
95.629997,113.570000,10.320000,30.389999,2.230000,19.469999,-4.440000,-6.800000,279.660004,80.150002,102623.460938,29.91,114.19,125.787498,PM2.5,9464
96.410004,127.010002,8.980000,29.850000,2.300000,19.740000,-3.540000,-5.430000,279.459991,80.620003,102117.953125,29.9,114.34,126.762505,PM2.5,9465
96.019997,134.600006,8.270000,29.320000,2.260000,22.559999,-3.780000,-4.480000,279.299988,82.980003,101445.578125,29.89,114.5,126.274994,PM2.5,9466
96.209999,130.229996,7.880000,30.570000,2.170000,21.740000,-3.800000,-3.150000,278.890015,85.639999,100714.031250,29.88,114.65,126.512497,PM2.5,9467
95.480003,124.680000,8.980000,32.389999,2.090000,21.820000,-4.340000,-2.250000,278.529999,88.120003,100305.976562,29.87,114.81,125.600006,PM2.5,9468
92.930000,119.339996,10.120000,33.240002,1.990000,21.879999,-5.510000,-3.170000,278.809998,85.730003,101061.992188,29.85,114.97,122.412498,PM2.5,9469
87.809998,110.500000,11.550000,33.430000,1.880000,23.190001,-6.890000,-4.190000,279.320007,82.379997,102080.773438,29.84,115.12,116.012497,PM2.5,9470
80.980003,98.379997,12.630000,33.389999,1.740000,24.360001,-7.500000,-4.200000,279.000000,83.169998,101802.039062,29.83,115.28,107.475006,PM2.5,9471
76.910004,87.110001,13.780000,33.189999,1.680000,22.639999,-7.120000,-3.480000,278.209991,83.610001,101237.148438,29.81,115.43,102.387505,PM2.5,9472
66.889999,62.400002,14.000000,33.840000,1.480000,19.490000,-8.360000,-8.620000,279.260010,80.750000,102446.578125,29.77,115.9,89.862503,PM2.5,9475
86.750000,98.449997,20.280001,17.920000,1.210000,33.540001,-6.540000,7.720000,275.510010,89.459999,87404.703125,30.34,108.55,114.687500,PM2.5,9665
85.330002,96.769997,15.070000,18.540001,1.250000,36.450001,-6.910000,6.530000,274.140015,94.930000,87042.843750,30.34,108.7,112.912506,PM2.5,9666
81.059998,91.820000,14.280000,19.620001,1.270000,40.669998,-7.260000,3.970000,273.239990,98.910004,86902.023438,30.33,108.86,107.574997,PM2.5,9667
72.970001,83.180000,13.000000,21.040001,1.310000,41.790001,-6.930000,0.450000,273.540009,99.470001,88671.546875,30.33,109.02,97.462502,PM2.5,9668
65.529999,75.440002,11.430000,21.850000,1.370000,44.459999,-7.080000,-3.360000,275.059998,93.339996,91830.953125,30.32,109.18,88.162498,PM2.5,9669
61.330002,71.129997,9.910000,22.190001,1.440000,45.900002,-6.940000,-6.300000,275.769989,86.919998,93386.789062,30.32,109.33,82.912506,PM2.5,9670
57.270000,69.139999,10.700000,22.170000,1.530000,46.299999,-6.950000,-5.080000,276.579987,82.239998,94514.078125,30.31,109.49,77.837502,PM2.5,9671
55.570000,69.790001,12.400000,22.280001,1.590000,45.919998,-8.420000,-1.930000,276.010010,80.660004,92820.132812,30.31,109.65,75.712502,PM2.5,9672
55.959999,72.410004,13.980000,22.309999,1.670000,44.799999,-8.440000,-1.600000,273.369995,90.559998,89977.062500,30.3,109.81,76.199997,PM2.5,9673
56.419998,73.580002,15.080000,22.889999,1.730000,43.180000,-7.020000,-2.270000,272.649994,91.820000,89493.617188,30.29,109.96,76.774994,PM2.5,9674
57.490002,74.839996,16.840000,23.129999,1.770000,42.380001,-7.810000,-0.660000,272.239990,89.769997,88589.953125,30.29,110.12,78.112503,PM2.5,9675
61.430000,80.199997,17.370001,23.580000,1.810000,39.910000,-8.380000,1.010000,270.339996,94.519997,87227.320312,30.28,110.28,83.037498,PM2.5,9676
64.699997,83.510002,18.750000,24.250000,1.860000,37.860001,-7.300000,0.770000,269.540009,95.129997,88079.703125,30.27,110.43,87.125000,PM2.5,9677
