PM2_5,PM10,SO2,NO2,CO,O3,Time
157.070007,321.130005,74.949997,70.980003,4.930000,19.030001,2013-04-22
153.160004,283.089996,105.879997,55.200001,4.790000,30.379999,2013-04-23
30.540001,96.000000,58.060001,40.189999,3.250000,41.279999,2013-04-24
22.780001,70.330002,37.000000,31.889999,2.750000,48.509998,2013-04-25
78.480003,243.009995,104.410004,58.950001,4.880000,42.209999,2013-04-26
113.790001,283.709991,72.629997,51.410000,4.000000,60.980000,2013-04-27
60.619999,104.750000,44.360001,33.639999,2.650000,66.940002,2013-04-28
33.509998,85.010002,67.540001,49.669998,2.760000,45.380001,2013-04-29
68.529999,185.910004,91.470001,51.599998,3.120000,38.349998,2013-04-30
56.520000,145.070007,62.570000,46.470001,2.160000,56.480000,2013-05-01
70.040001,158.619995,69.269997,57.250000,2.820000,45.090000,2013-05-02
65.220001,131.880005,47.450001,41.689999,2.530000,59.450001,2013-05-03
97.239998,175.229996,64.050003,63.400002,3.130000,85.309998,2013-05-04
87.570000,184.479996,53.990002,56.180000,3.620000,63.950001,2013-05-05
86.860001,158.339996,76.750000,64.769997,2.570000,59.930000,2013-05-06
79.959999,153.770004,77.860001,52.029999,1.630000,81.419998,2013-05-07
61.509998,112.830002,49.740002,58.500000,1.580000,51.540001,2013-05-08
42.849998,86.940002,38.430000,35.689999,1.570000,54.750000,2013-05-09
22.570000,75.760002,52.980000,41.299999,2.090000,47.299999,2013-05-10
57.799999,212.279999,143.080002,70.699997,2.370000,39.799999,2013-05-11
64.080002,238.309998,171.910004,99.589996,2.480000,43.000000,2013-05-12
47.040001,193.410004,99.379997,69.769997,1.970000,36.799999,2013-05-13
38.400002,125.089996,42.529999,30.889999,1.310000,72.239998,2013-05-14
38.349998,124.110001,44.380001,33.660000,1.290000,110.800003,2013-05-15
31.389999,86.989998,45.810001,26.620001,1.250000,104.080002,2013-05-16
66.739998,146.710007,100.250000,64.070000,2.130000,63.669998,2013-05-17
116.160004,189.229996,146.220001,65.019997,2.880000,67.690002,2013-05-18
61.230000,123.959999,85.250000,53.509998,2.450000,56.049999,2013-05-19
43.110001,111.510002,86.330002,76.779999,1.940000,43.599998,2013-05-20
