PM2_5,PM10,SO2,NO2,CO,O3,Time
39.910000,128.509995,50.349998,44.750000,0.900000,59.049999,2013-04-11
45.340000,137.580002,48.889999,36.549999,0.830000,77.870003,2013-04-12
63.139999,224.300003,71.980003,34.650002,0.960000,90.419998,2013-04-13
96.019997,278.799988,169.179993,58.750000,1.420000,48.080002,2013-04-14
100.900002,313.510010,90.660004,51.700001,1.470000,87.959999,2013-04-15
81.040001,249.050003,70.470001,36.630001,1.020000,61.200001,2013-04-16
103.019997,241.850006,134.449997,68.300003,1.680000,49.520000,2013-04-17
56.139999,180.360001,94.150002,33.830002,0.850000,66.279999,2013-04-18
35.340000,104.529999,81.830002,37.700001,0.820000,52.689999,2013-04-19
68.279999,104.010002,45.930000,48.840000,1.150000,42.080002,2013-04-20
83.849998,140.949997,55.490002,48.799999,0.900000,53.220001,2013-04-21
112.739998,170.860001,52.320000,42.630001,1.080000,87.040001,2013-04-22
96.980003,153.669998,42.220001,45.669998,0.960000,61.060001,2013-04-23
112.339996,212.029999,56.820000,58.040001,1.070000,61.389999,2013-04-24
39.910000,110.580002,31.010000,37.490002,0.790000,76.910004,2013-04-25
55.330002,148.770004,43.880001,43.570000,0.810000,108.949997,2013-04-26
129.440002,273.209991,81.169998,61.500000,1.230000,97.690002,2013-04-27
173.539993,334.600006,73.980003,68.480003,1.480000,50.669998,2013-04-28
57.279999,132.190002,59.090000,44.759998,0.990000,68.059998,2013-04-29
49.770000,135.190002,60.150002,55.160000,0.940000,77.650002,2013-04-30
79.059998,225.539993,152.350006,72.800003,1.520000,59.860001,2013-05-01
77.440002,200.600006,77.830002,74.349998,1.480000,66.510002,2013-05-02
107.680000,190.720001,103.769997,49.349998,1.290000,81.769997,2013-05-03
98.139999,161.639999,50.270000,53.290001,1.150000,84.379997,2013-05-04
94.110001,180.809998,47.060001,46.310001,1.030000,122.559998,2013-05-05
108.309998,222.470001,75.830002,49.990002,1.300000,148.479996,2013-05-06
116.669998,231.240005,81.489998,54.430000,1.310000,117.559998,2013-05-07
45.310001,66.949997,20.150000,43.750000,1.120000,54.650002,2013-05-08
98.839996,167.539993,36.049999,55.139999,1.500000,25.959999,2013-05-09
89.900002,190.729996,62.709999,45.490002,1.170000,71.860001,2013-05-10
56.509998,168.380005,51.650002,30.389999,0.800000,131.169998,2013-05-11
59.099998,160.520004,47.680000,28.160000,0.770000,131.199997,2013-05-12
84.370003,172.500000,47.470001,29.750000,0.930000,119.849998,2013-05-13
126.180000,238.419998,104.900002,37.310001,1.520000,112.010002,2013-05-14
100.150002,258.529999,169.710007,64.230003,1.450000,78.400002,2013-05-15
93.459999,166.289993,171.789993,65.470001,1.400000,75.070000,2013-05-16
66.260002,130.360001,49.689999,41.220001,0.910000,70.750000,2013-05-17
62.610001,90.820000,40.900002,35.299999,1.010000,60.380001,2013-05-18
78.980003,169.500000,48.930000,36.259998,0.980000,85.730003,2013-05-19
51.180000,168.410004,58.889999,29.070000,0.750000,87.139999,2013-05-20
98.730003,249.880005,38.639999,27.780001,0.980000,142.830002,2013-05-21
151.270004,286.519989,88.370003,61.410000,1.570000,98.150002,2013-05-22
171.300003,313.559998,56.660000,50.529999,1.620000,94.379997,2013-05-23
101.029999,185.899994,51.959999,36.130001,1.210000,106.830002,2013-05-24
137.199997,219.309998,26.410000,50.070000,1.400000,56.080002,2013-05-25
90.949997,138.050003,23.990000,45.330002,1.430000,37.880001,2013-05-26
29.209999,47.090000,24.440001,19.680000,0.610000,62.720001,2013-05-27
51.709999,89.300003,28.270000,30.120001,0.870000,52.590000,2013-05-28
67.029999,134.000000,35.119999,36.310001,1.010000,43.180000,2013-05-29
41.779999,114.660004,31.820000,28.719999,0.680000,95.860001,2013-05-30
44.580002,101.919998,30.170000,25.780001,0.700000,86.160004,2013-05-31
102.459999,183.820007,96.750000,40.380001,1.200000,106.260002,2013-06-01
121.410004,226.199997,51.869999,31.290001,1.150000,102.389999,2013-06-02
79.129997,146.300003,42.270000,27.100000,1.060000,145.800003,2013-06-03
76.099998,146.169998,49.680000,29.830000,1.190000,199.889999,2013-06-04
103.139999,177.440002,50.639999,34.520000,1.120000,189.869995,2013-06-05
85.519997,137.690002,35.590000,24.080000,0.970000,114.940002,2013-06-06
66.629997,122.480003,28.990000,28.690001,0.900000,70.940002,2013-06-07
63.730000,118.510002,47.410000,24.270000,0.930000,82.889999,2013-06-08
54.349998,104.650002,33.480000,22.690001,0.740000,102.470001,2013-06-09
32.310001,57.060001,28.219999,25.799999,1.080000,39.169998,2013-06-10
30.070000,54.740002,43.209999,29.100000,0.910000,74.400002,2013-06-11
43.700001,88.220001,33.919998,29.820000,0.790000,118.529999,2013-06-12
74.290001,124.809998,37.730000,26.559999,0.830000,149.429993,2013-06-13
57.450001,106.820000,36.889999,21.639999,0.780000,153.669998,2013-06-14
101.160004,161.130005,35.029999,28.580000,1.080000,175.539993,2013-06-15
131.029999,206.539993,35.950001,27.650000,1.240000,160.940002,2013-06-16
163.539993,279.209991,56.770000,43.840000,1.510000,90.949997,2013-06-17
100.040001,163.369995,67.349998,58.740002,1.260000,22.090000,2013-06-18
128.729996,219.889999,131.110001,82.269997,1.850000,76.500000,2013-06-19
131.380005,224.070007,76.050003,56.360001,1.670000,114.080002,2013-06-20
76.050003,136.539993,85.199997,71.919998,1.330000,45.590000,2013-06-21
