PM2_5,PM10,SO2,NO2,CO,O3,Time
156.119995,175.929993,53.799999,56.759998,1.990000,85.879997,2013-05-23
212.850006,214.160004,43.790001,75.959999,2.550000,51.840000,2013-05-24
117.860001,112.199997,29.320000,65.790001,1.950000,38.320000,2013-05-25
71.660004,45.240002,20.389999,35.130001,1.980000,48.060001,2013-05-26
53.919998,52.000000,24.139999,33.680000,1.470000,59.779999,2013-05-27
56.869999,83.720001,33.169998,56.299999,1.810000,44.590000,2013-05-28
26.389999,65.290001,37.290001,60.119999,1.520000,32.540001,2013-05-29
37.500000,102.559998,44.509998,70.099998,1.620000,47.959999,2013-05-30
47.470001,118.400002,44.209999,83.110001,1.790000,32.549999,2013-05-31
71.540001,189.789993,61.119999,85.599998,2.140000,63.480000,2013-06-01
84.669998,169.100006,33.450001,55.770000,2.080000,89.059998,2013-06-02
105.800003,228.380005,55.459999,65.400002,2.410000,92.559998,2013-06-03
73.849998,146.729996,37.049999,53.650002,2.010000,79.169998,2013-06-04
121.300003,187.869995,39.730000,53.630001,2.240000,79.639999,2013-06-05
137.869995,224.839996,33.090000,55.689999,2.290000,67.260002,2013-06-06
140.380005,194.369995,30.280001,46.279999,2.300000,40.220001,2013-06-07
59.860001,75.970001,26.770000,32.590000,1.770000,51.070000,2013-06-08
68.190002,122.949997,31.389999,37.880001,1.890000,45.020000,2013-06-09
21.360001,36.240002,26.010000,28.070000,1.630000,32.689999,2013-06-10
30.350000,54.689999,31.520000,31.600000,0.980000,49.180000,2013-06-11
41.619999,103.389999,45.570000,50.959999,1.120000,52.650002,2013-06-12
43.689999,95.959999,30.070000,32.270000,1.520000,74.730003,2013-06-13
58.889999,113.949997,27.100000,35.790001,1.740000,95.000000,2013-06-14
38.869999,94.269997,24.780001,35.639999,1.670000,93.430000,2013-06-15
48.430000,113.239998,25.600000,38.560001,1.620000,75.279999,2013-06-16
132.089996,240.440002,29.340000,61.919998,2.260000,93.050003,2013-06-17
198.020004,180.139999,16.719999,34.209999,2.390000,82.610001,2013-06-18
102.269997,126.089996,30.230000,38.599998,1.820000,66.370003,2013-06-19
114.809998,152.199997,26.500000,45.549999,1.920000,83.389999,2013-06-20
90.889999,124.029999,24.160000,31.370001,1.800000,63.810001,2013-06-21
133.809998,135.339996,22.280001,45.580002,1.710000,42.650002,2013-06-22
190.149994,167.729996,24.389999,34.380001,1.950000,50.709999,2013-06-23
249.630005,262.470001,24.400000,55.580002,2.300000,49.009998,2013-06-24
58.320000,80.480003,41.509998,44.860001,1.690000,62.020000,2013-06-25
67.129997,124.040001,20.280001,36.689999,1.690000,50.689999,2013-06-26
47.610001,102.580002,31.570000,44.230000,1.540000,68.889999,2013-06-27
51.180000,96.900002,22.780001,35.310001,1.440000,61.160000,2013-06-28
39.200001,76.080002,17.830000,29.370001,1.460000,59.090000,2013-06-29
34.090000,66.589996,15.320000,27.980000,1.500000,48.320000,2013-06-30
33.910000,65.480003,12.940000,24.209999,1.400000,44.389999,2013-07-01
25.209999,53.610001,12.820000,37.330002,1.350000,39.509998,2013-07-02
45.759998,70.449997,14.250000,35.360001,1.320000,47.790001,2013-07-03
34.189999,63.820000,14.730000,39.450001,1.400000,24.459999,2013-07-04
71.089996,108.639999,15.240000,36.959999,1.540000,38.750000,2013-07-05
79.500000,133.929993,15.380000,45.779999,1.450000,45.080002,2013-07-06
52.080002,98.970001,15.950000,35.070000,1.270000,56.799999,2013-07-07
59.840000,117.580002,17.549999,33.080002,1.290000,45.230000,2013-07-08
35.230000,63.709999,15.160000,25.200001,1.080000,49.500000,2013-07-09
37.200001,44.200001,14.740000,31.299999,1.340000,37.320000,2013-07-10
52.480000,66.650002,12.900000,24.850000,1.660000,27.299999,2013-07-11
40.060001,58.689999,12.730000,29.610001,1.600000,34.139999,2013-07-12
63.740002,85.040001,14.480000,27.740000,2.100000,31.410000,2013-07-13
65.629997,92.910004,23.980000,29.639999,2.210000,26.440001,2013-07-14
105.910004,155.279999,26.650000,34.000000,1.870000,41.240002,2013-07-15
61.400002,90.919998,29.400000,37.250000,1.480000,49.459999,2013-07-16
76.430000,119.260002,16.070000,32.459999,1.540000,45.290001,2013-07-17
73.279999,94.820000,15.770000,29.730000,1.700000,23.889999,2013-07-18
95.779999,147.229996,15.440000,29.299999,1.910000,30.900000,2013-07-19
150.360001,262.049988,19.930000,44.939999,2.160000,34.650002,2013-07-20
129.199997,203.149994,16.209999,32.970001,2.000000,34.169998,2013-07-21
105.519997,202.630005,27.250000,37.590000,1.790000,33.240002,2013-07-22
68.330002,130.080002,13.990000,39.360001,1.750000,24.680000,2013-07-23
112.260002,209.679993,18.709999,36.020000,1.980000,29.799999,2013-07-24
80.760002,127.989998,18.530001,33.439999,1.540000,38.040001,2013-07-25
47.320000,94.489998,18.450001,29.790001,1.400000,40.310001,2013-07-26
43.520000,87.410004,19.799999,29.570000,1.350000,40.759998,2013-07-27
61.430000,119.820000,33.930000,39.990002,1.630000,44.160000,2013-07-28
76.459999,164.919998,42.340000,55.939999,1.650000,36.610001,2013-07-29
47.770000,85.959999,55.349998,50.730000,1.230000,36.520000,2013-07-30
66.989998,130.929993,37.049999,44.270000,1.530000,75.489998,2013-07-31
36.599998,67.519997,19.379999,27.629999,1.400000,65.720001,2013-08-01
